request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_190,568.84,affordable_later,wait,2024-12-16:2557.5,16-12-2024,none,Pay EUR 2557.5 in full on 2024-12-16. Paying sooner would put the EUR 1600 minimum at risk.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,03-05-2025,none,Pay EUR 664.4 today. The 90-day forecast keeps at least EUR 500 available.
request_192,108.33,not_affordable,not_recommended,none,29-06-2026,none,Do not proceed by 2026-05-11. No eligible payment plan keeps the USD 1000 minimum protected through the 90-day forecast.
request_193,70.72,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,18-04-2024,none,Use the selected installment schedule to complete the request by 2024-05-28. The forecast keeps the EUR 1000 minimum protected.
request_194,47429.67,affordable_later,wait,2025-10-17:132800,17-10-2025,none,Pay INR 132800 in full on 2025-10-17. Paying sooner would put the INR 113600 minimum at risk.
request_195,947.71,not_affordable,not_recommended,none,19-03-2026,none,Do not proceed by 2026-03-11. No eligible payment plan keeps the EUR 700 minimum protected through the 90-day forecast.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,03-06-2024,none,Pay EUR 762.3 today. The 90-day forecast keeps at least EUR 500 available.
request_197,0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-21. No eligible payment plan keeps the IDR 26245900 minimum protected through the 90-day forecast.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,07-07-2026,none,Pay INR 185800 today. The 90-day forecast keeps at least INR 124300 available.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,04-09-2024,none,Use the selected installment schedule to complete the request by 2024-11-10. The forecast keeps the IDR 25359500 minimum protected.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,06-02-2025,none,Pay IDR 21717000 today. The 90-day forecast keeps at least IDR 20114600 available.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,03-04-2026,none,Pay IDR 23997000 today. The 90-day forecast keeps at least IDR 17304500 available.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,05-12-2024,none,Pay INR 123900 today. The 90-day forecast keeps at least INR 147800 available.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,07-05-2025,none,Use the selected installment schedule to complete the request by 2025-07-08. The forecast keeps the EUR 1400 minimum protected.
request_204,0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-31. No eligible payment plan keeps the EUR 1300 minimum protected through the 90-day forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,06-03-2024,none,Pay IDR 10621000 today. The 90-day forecast keeps at least IDR 13994300 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,03-08-2025,none,Use the selected installment schedule to complete the request by 2025-09-29. The forecast keeps the EUR 900 minimum protected.
request_207,6089.22,affordable_later,wait,2026-07-16:11830,16-07-2026,none,Pay ZAR 11830 in full on 2026-07-16. Paying sooner would put the ZAR 13600 minimum at risk.
request_208,2920844.95,affordable_later,wait,2024-06-16:4413000,16-06-2024,none,Pay IDR 4413000 in full on 2024-06-16. Paying sooner would put the IDR 10470700 minimum at risk.
request_209,1394.53,not_affordable,not_recommended,none,,none,Do not proceed by 2025-11-25. No eligible payment plan keeps the ZAR 18400 minimum protected through the 90-day forecast.
request_210,839.64,affordable_with_plan,partial_payment,2026-04-06:839.64|2026-04-16:520.38,16-04-2026,none,Pay USD 839.64 on the request date and the remaining amount on 2026-04-16. This completes the request while protecting the minimum balance.
request_211,114.54,affordable_later,wait,2024-09-16:1788.6,16-09-2024,none,Pay EUR 1788.6 in full on 2024-09-16. Paying sooner would put the EUR 1500 minimum at risk.
request_212,4199585.27,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-28. No eligible payment plan keeps the IDR 29579800 minimum protected through the 90-day forecast.
request_213,2565.97,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-22. No eligible payment plan keeps the USD 2100 minimum protected through the 90-day forecast.
request_214,46889.65,affordable_with_plan,partial_payment,2024-12-04:46889.65|2024-12-17:22860.35,17-12-2024,none,Pay INR 46889.65 on the request date and the remaining amount on 2024-12-17. This completes the request while protecting the minimum balance.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,06-05-2025,none,Use the selected installment schedule to complete the request by 2025-07-10. The forecast keeps the ZAR 15700 minimum protected.
request_216,631.81,affordable_later,wait,2026-07-17:3332.4,17-07-2026,none,Pay USD 3332.4 in full on 2026-07-17. Paying sooner would put the USD 1800 minimum at risk.
request_217,18538.38,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,16-03-2024,none,Use the selected installment schedule to complete the request by 2024-05-21. The forecast keeps the ZAR 26800 minimum protected.
request_218,25332082.73,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,16-09-2025,none,Use the selected installment schedule to complete the request by 2025-10-06. The forecast keeps the IDR 34477200 minimum protected.
request_219,698.79,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,16-05-2026,none,Use the selected installment schedule to complete the request by 2026-06-13. The forecast keeps the EUR 1100 minimum protected.
request_220,51.34,not_affordable,not_recommended,none,,none,Do not proceed by 2024-07-03. No eligible payment plan keeps the EUR 1100 minimum protected through the 90-day forecast.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,03-11-2025,none,Pay INR 109800 today. The 90-day forecast keeps at least INR 81500 available.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,05-01-2026,none,Pay ZAR 34078 today. The 90-day forecast keeps at least ZAR 27300 available.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,07-09-2024,none,Pay EUR 898.7 today. The 90-day forecast keeps at least EUR 800 available.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,04-02-2025,none,Use the selected installment schedule to complete the request by 2025-03-16. The forecast keeps the IDR 22187600 minimum protected.
request_225,9827696.7,not_affordable,not_recommended,none,17-09-2026,none,Do not proceed by 2026-09-21. No eligible payment plan keeps the IDR 17670700 minimum protected through the 90-day forecast.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,03-12-2024,none,Pay INR 157000 today. The 90-day forecast keeps at least INR 209400 available.
request_227,12839.03,not_affordable,not_recommended,none,,none,Do not proceed by 2025-06-20. No eligible payment plan keeps the INR 62900 minimum protected through the 90-day forecast.
request_228,0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-04-30. No eligible payment plan keeps the IDR 26191200 minimum protected through the 90-day forecast.
request_229,339.66,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,19-05-2024,none,Use the selected installment schedule to complete the request by 2024-05-23. The forecast keeps the EUR 1000 minimum protected.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,06-08-2025,none,Pay EUR 3537.6 today. The 90-day forecast keeps at least EUR 2000 available.
request_231,15566.63,not_affordable,not_recommended,none,19-03-2026,none,Do not proceed by 2026-03-17. No eligible payment plan keeps the ZAR 24300 minimum protected through the 90-day forecast.
request_232,0,not_affordable,not_recommended,none,,none,Do not proceed by 2024-08-15. No eligible payment plan keeps the EUR 2400 minimum protected through the 90-day forecast.
request_233,0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-12-17. No eligible payment plan keeps the IDR 10365700 minimum protected through the 90-day forecast.
request_234,278.61,affordable_later,wait,2026-08-17:1213.3,17-08-2026,none,Pay EUR 1213.3 in full on 2026-08-17. Paying sooner would put the EUR 700 minimum at risk.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,06-09-2024,none,Pay USD 967.2 today. The 90-day forecast keeps at least USD 700 available.
request_236,6263226.08,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-23. No eligible payment plan keeps the IDR 16768600 minimum protected through the 90-day forecast.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,05-04-2026,none,Pay IDR 23826000 today. The 90-day forecast keeps at least IDR 22431500 available.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,07-12-2024,none,Use the selected installment schedule to complete the request by 2025-02-16. The forecast keeps the USD 700 minimum protected.
request_239,0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-05-24. No eligible payment plan keeps the USD 600 minimum protected through the 90-day forecast.
request_240,0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-20. No eligible payment plan keeps the INR 52800 minimum protected through the 90-day forecast.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,03-03-2024,none,Use the selected installment schedule to complete the request by 2024-05-25. The forecast keeps the IDR 19252000 minimum protected.
request_242,0,not_affordable,not_recommended,none,,none,Do not proceed by 2025-08-25. No eligible payment plan keeps the EUR 600 minimum protected through the 90-day forecast.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,07-07-2026,none,Pay ZAR 17468 today. The 90-day forecast keeps at least ZAR 19900 available.
request_244,0,not_affordable,not_recommended,none,,none,Do not proceed by 2024-07-16. No eligible payment plan keeps the ZAR 45900 minimum protected through the 90-day forecast.
request_245,32959.74,affordable_later,wait,2025-11-16:128500,16-11-2025,none,Pay INR 128500 in full on 2025-11-16. Paying sooner would put the INR 94600 minimum at risk.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,03-04-2026,none,Use the selected installment schedule to complete the request by 2026-06-02. The forecast keeps the ZAR 39300 minimum protected.
request_247,1018.74,affordable_later,wait,2024-09-16:1059.3,16-09-2024,none,Pay EUR 1059.3 in full on 2024-09-16. Paying sooner would put the EUR 1300 minimum at risk.
request_248,1028.62,affordable_with_plan,partial_payment,2025-02-07:1028.62|2025-03-16:936.98,16-03-2025,none,Pay USD 1028.62 on the request date and the remaining amount on 2025-03-16. This completes the request while protecting the minimum balance.
request_249,163.41,not_affordable,not_recommended,none,19-03-2026,none,Do not proceed by 2026-03-15. No eligible payment plan keeps the USD 600 minimum protected through the 90-day forecast.
request_250,17762.28,not_affordable,not_recommended,none,,none,Do not proceed by 2025-01-18. No eligible payment plan keeps the ZAR 35300 minimum protected through the 90-day forecast.
request_251,1513.6,not_affordable,not_recommended,none,03-05-2025,none,Do not proceed by 2025-06-06. No eligible payment plan keeps the EUR 1300 minimum protected through the 90-day forecast.
request_252,5932874.65,affordable_later,wait,2026-08-17:28082000,17-08-2026,none,Pay IDR 28082000 in full on 2026-08-17. Paying sooner would put the IDR 15152200 minimum at risk.
request_253,1281.66,not_affordable,not_recommended,none,19-05-2024,none,Do not proceed by 2024-06-01. No eligible payment plan keeps the EUR 2300 minimum protected through the 90-day forecast.
request_254,824.45,affordable_later,wait,2025-09-16:3535.2,16-09-2025,none,Pay USD 3535.2 in full on 2025-09-16. Paying sooner would put the USD 2500 minimum at risk.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,06-04-2026,none,Pay IDR 3345000 today. The 90-day forecast keeps at least IDR 9813900 available.
request_256,31685.38,not_affordable,not_recommended,none,,none,Do not proceed by 2024-08-19. No eligible payment plan keeps the INR 168600 minimum protected through the 90-day forecast.
request_257,359.02,not_affordable,not_recommended,none,17-01-2026,none,Do not proceed by 2026-01-15. No eligible payment plan keeps the USD 1600 minimum protected through the 90-day forecast.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,07-01-2026,none,Pay USD 1113.6 today. The 90-day forecast keeps at least USD 500 available.
request_259,167.31,not_affordable,not_recommended,none,17-11-2024,none,Do not proceed by 2024-11-15. No eligible payment plan keeps the EUR 600 minimum protected through the 90-day forecast.
request_260,8043864.42,not_affordable,not_recommended,none,,none,Do not proceed by 2025-04-18. No eligible payment plan keeps the IDR 20727700 minimum protected through the 90-day forecast.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,03-07-2026,none,Pay EUR 1830.4 today. The 90-day forecast keeps at least EUR 1500 available.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,05-12-2024,none,Pay IDR 9236000 today. The 90-day forecast keeps at least IDR 31018500 available.
request_263,9084.28,not_affordable,not_recommended,none,16-06-2025,none,Do not proceed by 2025-06-15. No eligible payment plan keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_264,23210.21,not_affordable,not_recommended,none,17-06-2026,none,Do not proceed by 2026-06-15. No eligible payment plan keeps the INR 59500 minimum protected through the 90-day forecast.
request_265,0,not_affordable,not_recommended,none,,none,Do not proceed by 2024-03-21. No eligible payment plan keeps the INR 189700 minimum protected through the 90-day forecast.
request_266,457.87,not_affordable,not_recommended,none,17-10-2025,none,Do not proceed by 2025-10-03. No eligible payment plan keeps the EUR 900 minimum protected through the 90-day forecast.
request_267,720.56,not_affordable,not_recommended,none,,none,Do not proceed by 2026-03-17. No eligible payment plan keeps the EUR 1500 minimum protected through the 90-day forecast.
request_268,1033.69,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,17-07-2024,none,Use the selected installment schedule to complete the request by 2024-08-15. The forecast keeps the EUR 1400 minimum protected.
request_269,0,not_affordable,not_recommended,none,,none,Do not proceed by 2026-01-02. No eligible payment plan keeps the ZAR 23100 minimum protected through the 90-day forecast.
request_270,242.77,not_affordable,not_recommended,none,17-08-2026,none,Do not proceed by 2026-08-30. No eligible payment plan keeps the USD 1400 minimum protected through the 90-day forecast.
request_271,15098.75,affordable_later,wait,2024-10-16:91300,16-10-2024,none,Pay INR 91300 in full on 2024-10-16. Paying sooner would put the INR 58200 minimum at risk.
request_272,5623164.46,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,19-03-2025,none,Use the selected installment schedule to complete the request by 2025-04-10. The forecast keeps the IDR 7508600 minimum protected.
request_273,10764260.96,affordable_with_plan,partial_payment,2026-04-07:10764260.96|2026-04-16:5096739.04,16-04-2026,none,Pay IDR 10764260.96 on the request date and the remaining amount on 2026-04-16. This completes the request while protecting the minimum balance.
request_274,891.75,not_affordable,not_recommended,none,,none,Do not proceed by 2025-02-11. No eligible payment plan keeps the EUR 1800 minimum protected through the 90-day forecast.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,06-05-2025,none,Pay IDR 15884000 today. The 90-day forecast keeps at least IDR 12760100 available.
